home,GT,N2_CO,N2_FHMM,N2_Hart,N3_CO,N3_FHMM
1,100.0,101.0,101.0,119.0,99.0,99.0
100,143.0,127.0,123.0,136.0,119.0,129.0
102,133.0,124.0,122.0,146.0,121.0,127.0
103,174.0,166.0,182.0,201.0,155.0,173.0
104,229.0,202.0,223.0,201.0,241.0,232.0
106,117.0,119.0,117.0,135.0,114.0,115.0
107,112.0,118.0,115.0,112.0,108.0,111.0
109,175.0,146.0,182.0,173.0,187.0,178.0
11,146.0,141.0,141.0,144.0,135.0,145.0
110,129.0,103.0,111.0,193.0,96.0,108.0
112,133.0,141.0,139.0,131.0,132.0,135.0
114,133.0,115.0,140.0,168.0,146.0,132.0
115,139.0,135.0,134.0,136.0,130.0,134.0
116,106.0,106.0,108.0,112.0,101.0,105.0
118,106.0,112.0,108.0,109.0,102.0,105.0
119,93.0,83.0,54.0,111.0,75.0,94.0
123,130.0,136.0,132.0,142.0,125.0,131.0
124,119.0,126.0,125.0,178.0,114.0,117.0
125,163.0,186.0,189.0,178.0,158.0,164.0
126,182.0,190.0,188.0,248.0,181.0,178.0
128,120.0,108.0,134.0,119.0,136.0,126.0
129,116.0,122.0,118.0,142.0,117.0,115.0
13,129.0,139.0,136.0,140.0,131.0,131.0
130,124.0,104.0,126.0,142.0,129.0,122.0
131,138.0,138.0,148.0,126.0,125.0,135.0
133,97.0,91.0,56.0,144.0,84.0,84.0
134,125.0,111.0,110.0,144.0,121.0,119.0
135,143.0,133.0,136.0,139.0,143.0,135.0
136,106.0,121.0,118.0,133.0,108.0,106.0
138,109.0,113.0,110.0,113.0,106.0,106.0
139,120.0,112.0,117.0,188.0,105.0,112.0
14,97.0,82.0,59.0,162.0,73.0,94.0
140,90.0,90.0,89.0,91.0,86.0,88.0
142,150.0,137.0,138.0,125.0,158.0,149.0
144,200.0,205.0,204.0,282.0,198.0,198.0
145,110.0,106.0,112.0,114.0,99.0,102.0
146,129.0,126.0,142.0,136.0,115.0,131.0
149,132.0,129.0,128.0,125.0,123.0,131.0
15,139.0,134.0,132.0,132.0,126.0,138.0
151,112.0,114.0,112.0,150.0,108.0,110.0
152,150.0,148.0,147.0,140.0,142.0,149.0
153,170.0,174.0,173.0,164.0,165.0,169.0
154,153.0,121.0,161.0,186.0,164.0,151.0
155,276.0,214.0,273.0,138.0,277.0,264.0
157,170.0,104.0,172.0,206.0,180.0,170.0
158,158.0,125.0,160.0,162.0,165.0,158.0
159,126.0,109.0,134.0,134.0,133.0,122.0
161,93.0,82.0,113.0,105.0,75.0,105.0
163,138.0,146.0,145.0,144.0,136.0,138.0
167,136.0,146.0,146.0,131.0,133.0,136.0
169,169.0,127.0,172.0,152.0,189.0,169.0
170,128.0,145.0,145.0,142.0,138.0,135.0
18,123.0,118.0,124.0,144.0,114.0,119.0
2,104.0,121.0,57.0,119.0,104.0,47.0
22,127.0,126.0,127.0,130.0,119.0,128.0
25,135.0,125.0,130.0,141.0,117.0,131.0
29,103.0,99.0,95.0,121.0,106.0,104.0
33,128.0,125.0,125.0,128.0,118.0,127.0
34,143.0,105.0,139.0,132.0,146.0,141.0
35,167.0,162.0,158.0,159.0,176.0,169.0
37,135.0,130.0,129.0,128.0,126.0,136.0
42,67.0,72.0,70.0,118.0,68.0,68.0
43,115.0,116.0,103.0,117.0,110.0,116.0
44,119.0,96.0,143.0,116.0,145.0,130.0
45,143.0,141.0,139.0,130.0,136.0,142.0
46,167.0,140.0,70.0,151.0,119.0,151.0
47,142.0,135.0,138.0,153.0,146.0,143.0
50,143.0,116.0,151.0,157.0,153.0,141.0
51,120.0,122.0,121.0,128.0,115.0,115.0
52,162.0,156.0,148.0,140.0,150.0,161.0
54,96.0,96.0,110.0,97.0,86.0,94.0
55,112.0,91.0,118.0,128.0,118.0,112.0
57,125.0,124.0,133.0,139.0,116.0,130.0
58,169.0,114.0,176.0,310.0,182.0,168.0
59,107.0,112.0,111.0,136.0,106.0,106.0
60,109.0,114.0,103.0,266.0,108.0,108.0
61,122.0,122.0,122.0,119.0,117.0,120.0
67,186.0,158.0,200.0,146.0,206.0,189.0
68,102.0,111.0,110.0,170.0,106.0,102.0
72,143.0,144.0,145.0,140.0,135.0,144.0
75,118.0,120.0,120.0,155.0,117.0,118.0
76,133.0,146.0,142.0,261.0,137.0,138.0
78,136.0,138.0,135.0,140.0,133.0,129.0
79,116.0,122.0,123.0,151.0,115.0,118.0
8,154.0,148.0,144.0,145.0,139.0,154.0
83,98.0,92.0,92.0,115.0,89.0,88.0
84,116.0,111.0,122.0,158.0,103.0,114.0
87,120.0,125.0,120.0,199.0,118.0,119.0
88,117.0,119.0,122.0,114.0,110.0,112.0
89,124.0,120.0,121.0,119.0,118.0,119.0
92,235.0,151.0,244.0,169.0,250.0,242.0
93,143.0,138.0,127.0,156.0,134.0,143.0
95,142.0,123.0,151.0,141.0,152.0,141.0
97,128.0,133.0,131.0,136.0,125.0,126.0
99,135.0,137.0,136.0,132.0,130.0,135.0
