,dataid,company,model,nilmtk_id
0,585,lg,lfc21770st,17.0
1,9933,kenmore,58585891,232.0
3,3456,frigidaire,frs6kr5jsb0,91.0
7,545,kenmore,10676249402,15.0
9,4998,samsung,rs277acpn,126.0
10,5275,kenmore,106.566625,132.0
11,6673,frigidaire,frt18nrjw1,153.0
13,5371,whirlpool,abr2222fes,134.0
14,1192,ge,pfss6pkxass,30.0
15,7536,samsung,rf266abrs,165.0
17,3544,lg,lbc22520sw,95.0
19,3778,ge,pficinfwabv,100.0
20,5874,whirlpool,t322afx5225,143.0
21,7504,whirlpool,gx5shtxtb01,163.0
22,2814,kenmore,79578546806,73.0
23,7531,maytag,msd2756aew,164.0
24,1464,whirlpool,afd2535fes,34.0
26,1714,lg,lfx25960sw,43.0
28,2945,lg,lrfc25750tt,78.0
29,6910,whirlpool,ed5fvgxws02,157.0
30,9938,kitchenaid,ksr25qfwh00,235.0
32,6990,kenmore,975.78553.800,159.0
38,1642,kenmore,797.775566,39.0
40,2335,ge,gfsf6k,61.0
41,9499,whirlpool,et8wtmxkq09,214.0
43,6423,lg,lsc21943st101,151.0
45,4447,kenmore,40141003010,114.0
47,3192,whirlpool,gc5shaxvs00,86.0
48,2638,whirlpool,abb2222few,69.0
49,9121,amana,asd2625kes,206.0
53,8236,whirlpool,gx5fhtxv00,191.0
54,2575,ge,gss25wstiss,67.0
62,3482,whirlpool,gd5dhaxvy04,92.0
65,9915,electrolux/ frigidaire, frt18h56jk4,228.0
67,2129,whirlpool,gc5shex1305,55.0
70,4767,whirlpool,gc5shexn505,120.0
72,3967,lg,lfc21770st,104.0
73,2337,ge,gsh22jftebb,62.0
74,9939,lg,lfx289785b,236.0
78,7731,whirlpool,aff2434feb,168.0
79,2094,lg,lfx25960st,54.0
80,6139,whilrpool,g17fvcwb00,148.0
82,2158,amana,sxd26vw,57.0
83,6836,ge,gss25qswc,156.0
86,871,frigidaire,frs26hf6bw0,24.0
87,94,samsung,  rb217abpn,5.0
88,2233,kitchenaid,ksc25fvms01,59.0
89,8829,kenmore,106.580268,201.0
92,3039,samsung,rfg297aars,81.0
96,3918,frigidaire,plhs69eess2,103.0
97,1800,lg,lmx21981st/01,48.0
98,9937,amana,abd2533des,234.0
99,8741,electrolux,frt21frtew3,200.0
100,661,lg,gss25qswc,19.0
105,5218,kitchenaid,kfis20xvm96,130.0
106,9356,amana,asd2522wrs01,211.0
108,9737,subzero,650/f,224.0
109,86,samsung,rf267aers,3.0
110,9729,whirlpool,ed5fhext500,223.0
112,2818,kitchenaid,rbf325etssd0,74.0
113,4336,whirlpool,gx5fhtxvy00,110.0
116,5785,lg,lsc26905tt,140.0
117,7769,frigidaire,ffht1826lk2,169.0
119,9942,kenmore,106.642324,237.0
121,7982,lg,lfx25960st,177.0
122,9934,ge,gth18btzrww,233.0
123,5972,kenmore,106.587038,147.0
125,1801,kitchenaid,kbfs20etss01,49.0
126,1718,ge,gsl25igrebs,44.0
127,1790,kenmore,795 79753901,47.0
130,1334,ge,tfx25jr,32.0
134,2171,ge (no tag),frt18nrjw1,58.0
137,8317,ge,gfss6kexass,193.0
138,8084,ge,pgcs1nfxc,185.0
149,93,ge,psf26pgwa,4.0
150,739,kenmore,596.6814289,20.0
151,1185,whirlpool,ed5rnexnl03,29.0
156,9019,kenmore,79577573600,204.0
160,9160,whirlpool,gi0fsaxvy01,208.0
161,936,maytag,msa2651heb,25.0
162,370,kitchenaid,ksrb25fhs501,9.0
163,8031,samsung,rb217abpn,180.0
165,4154,ge,gdslokcxarls,107.0
168,7940,samsung,rf26xaers,175.0
170,744,haier,prc825,21.0
176,410,frigidaire,frt18tphw1,10.0
179,4031,kitchenaid,ksrg25fk,105.0
180,8047,kitchenaid,kbfa25erss01,182.0
181,9922,ge,psc23nsta,229.0
182,114,lg,lsc27950st,6.0
185,5949,kenmore,9610313,146.0
187,5545,kitchenaid,ksrj25cnst00,136.0
168,2242,samsung,rf266abrs,60.0
247,5746,fischer-paykel,e522b,139.0
261,2156,maytag,mfi2568aes,56.0
283,2365,amana,arb2117bs,63.0
375,1697,samsung,rfg297aars,42.0
473,5938,kitchenaid,kfcs22evms8,145.0
